book_id,authors,year,title,average_rating
1,Suzanne Collins,2008,"The Hunger Games (The Hunger Games, #1)",4.34
2,"J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44
3,Stephenie Meyer,2005,"Twilight (Twilight, #1)",3.57
4,Harper Lee,1960,To Kill a Mockingbird,4.25
5,F. Scott Fitzgerald,1925,The Great Gatsby,3.89
6,John Green,2012,The Fault in Our Stars,4.26
7,J.R.R. Tolkien,1937,The Hobbit,4.25
8,J.D. Salinger,1951,The Catcher in the Rye,3.79
9,Dan Brown,2000,"Angels & Demons  (Robert Langdon, #1)",3.85
10,Jane Austen,1813,Pride and Prejudice,4.24
11,Khaled Hosseini,2003,The Kite Runner,4.26
12,Veronica Roth,2011,"Divergent (Divergent, #1)",4.24
13,"George Orwell, Erich Fromm, Celâl Üster",1949,1984,4.14
14,George Orwell,1945,Animal Farm,3.87
15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,The Diary of a Young Girl,4.1
16,"Stieg Larsson, Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium, #1)",4.11
17,Suzanne Collins,2009,"Catching Fire (The Hunger Games, #2)",4.3
18,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53
19,J.R.R. Tolkien,1954,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34
20,Suzanne Collins,2010,"Mockingjay (The Hunger Games, #3)",4.03
21,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46
22,Alice Sebold,2002,The Lovely Bones,3.77
23,"J.K. Rowling, Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37
24,"J.K. Rowling, Mary GrandPré",2000,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53
25,"J.K. Rowling, Mary GrandPré",2007,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61
26,Dan Brown,2003,"The Da Vinci Code (Robert Langdon, #2)",3.79
27,"J.K. Rowling, Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54
28,William Golding,1954,Lord of the Flies,3.64
29,"William Shakespeare, Robert           Jackson",1595,Romeo and Juliet,3.73
30,Gillian Flynn,2012,Gone Girl,4.03
31,Kathryn Stockett,2009,The Help,4.45
32,John Steinbeck,1937,Of Mice and Men,3.84
33,Arthur Golden,1997,Memoirs of a Geisha,4.08
34,E.L. James,2011,"Fifty Shades of Grey (Fifty Shades, #1)",3.67
35,"Paulo Coelho, Alan R. Clarke",1988,The Alchemist,3.82
36,Lois Lowry,1993,"The Giver (The Giver, #1)",4.12
37,C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19
38,Audrey Niffenegger,2003,The Time Traveler's Wife,3.95
39,George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45
40,Elizabeth Gilbert,2006,"Eat, Pray, Love",3.51
41,Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23
42,Louisa May Alcott,1868,"Little Women (Little Women, #1)",4.04
43,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,4.1
44,Nicholas Sparks,1996,"The Notebook (The Notebook, #1)",4.06
45,Yann Martel,2001,Life of Pi,3.88
46,Sara Gruen,2006,Water for Elephants,4.07
47,Markus Zusak,2005,The Book Thief,4.36
48,Ray Bradbury,1953,Fahrenheit 451,3.97
49,Stephenie Meyer,2006,"New Moon (Twilight, #2)",3.52
50,Shel Silverstein,1974,Where the Sidewalk Ends,4.29
51,Cassandra Clare,2007,"City of Bones (The Mortal Instruments, #1)",4.12
52,Stephenie Meyer,2007,"Eclipse (Twilight, #3)",3.69
53,Christopher Paolini,2002,"Eragon (The Inheritance Cycle, #1)",3.86
54,Douglas Adams,1979,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2
55,Aldous Huxley,1932,Brave New World,3.97
56,Stephenie Meyer,2008,"Breaking Dawn (Twilight, #4)",3.7
57,Sue Monk Kidd,2001,The Secret Life of Bees,4.01
58,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,3.8
59,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,4.15
60,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,3.85
61,Paula Hawkins,2015,The Girl on the Train,3.88
62,Philip Pullman,1995,"The Golden Compass (His Dark Materials, #1)",3.94
63,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,3.82
64,Jodi Picoult,2004,My Sister's Keeper,4.06
65,Kurt Vonnegut Jr.,1969,Slaughterhouse-Five,4.06
66,Margaret Mitchell,1936,Gone with the Wind,4.28
67,Khaled Hosseini,2007,A Thousand Splendid Suns,4.34
68,Stephen Chbosky,1999,The Perks of Being a Wallflower,4.21
69,Veronica Roth,2012,"Insurgent (Divergent, #2)",4.07
70,Orson Scott Card,1985,"Ender's Game (Ender's Saga, #1)",4.3
71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,Frankenstein,3.75
72,Stephen King,1977,The Shining (The Shining #1),4.17
73,Stephenie Meyer,2008,"The Host (The Host, #1)",3.84
74,John Green,2005,Looking for Alaska,4.09
75,Helen Fielding,1996,"Bridget Jones's Diary (Bridget Jones, #1)",3.75
76,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,4.06
77,"Louis Sachar, Louis Sachar",1998,"Holes (Holes, #1)",3.93
78,Lauren Weisberger,2003,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7
79,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,The Odyssey,3.73
80,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,The Little Prince,4.28
81,Jeannette Walls,2005,The Glass Castle,4.24
82,Jon Krakauer,1996,Into the Wild,3.94
83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,3.81
84,Michael Crichton,1990,"Jurassic Park (Jurassic Park, #1)",3.96
85,Shel Silverstein,1964,The Giving Tree,4.38
